,LMV,UMV,lithosphere,ice_history,esl_curve,deglacial_rate,posterior_trace,posterior_predict,hmc_divergence_pct
output71Cp45_L6G_Glac_Wael_T,5e+21,4e+20,71.0,L6G,Wael,T,True,True,38.0
output71Cp45_Lambeck_Glac_Wael_S,5e+21,4e+20,71.0,Lambeck,Wael,S,True,True,9.0
output71Cp45_Lambeck_Glac_Wael_T,5e+21,4e+20,71.0,Lambeck,Wael,T,True,True,15.0
output71Cp47_Colleoni_Glac_Wael_S,7e+21,4e+20,71.0,Colleoni,Wael,S,True,True,11.0
output71Cp47_Colleoni_Glac_Wael_T,7e+21,4e+20,71.0,Colleoni,Wael,T,True,True,5.0
output71Cp47_L6G-32_Glac_Wael_S,7e+21,4e+20,71.0,L6G-32,Wael,S,True,True,27.0
output71Cp47_L6G-32_Glac_Wael_T,7e+21,4e+20,71.0,L6G-32,Wael,T,True,True,24.0
output71Cp47_L6G-47_Glac_Wael_S,7e+21,4e+20,71.0,L6G-47,Wael,S,True,True,10.0
output71Cp47_L6G-47_Glac_Wael_T,7e+21,4e+20,71.0,L6G-47,Wael,T,True,True,17.0
output71Cp47_L6G_Glac_Wael_S,7e+21,4e+20,71.0,L6G,Wael,S,True,True,19.0
output71Cp47_L6G_Glac_Wael_T,7e+21,4e+20,71.0,L6G,Wael,T,True,True,47.0
output71Cp47_Lambeck_Glac_Wael_S,7e+21,4e+20,71.0,Lambeck,Wael,S,True,True,14.0
output71Cp47_Lambeck_Glac_Wael_T,7e+21,4e+20,71.0,Lambeck,Wael,T,True,True,15.0
output71Cp510_Colleoni_Glac_Wael_S,1e+22,5e+20,71.0,Colleoni,Wael,S,True,True,7.0
output71Cp510_Colleoni_Glac_Wael_T,1e+22,5e+20,71.0,Colleoni,Wael,T,True,True,10.0
output71Cp510_L6G-32_Glac_Wael_S,1e+22,5e+20,71.0,L6G-32,Wael,S,True,True,8.0
output71Cp510_L6G-32_Glac_Wael_T,1e+22,5e+20,71.0,L6G-32,Wael,T,True,True,36.0
output71Cp510_L6G-47_Glac_Wael_S,1e+22,5e+20,71.0,L6G-47,Wael,S,True,True,8.0
output71Cp510_L6G-47_Glac_Wael_T,1e+22,5e+20,71.0,L6G-47,Wael,T,True,True,19.0
output71Cp510_L6G_Glac_Wael_S,1e+22,5e+20,71.0,L6G,Wael,S,True,True,7.0
output71Cp510_L6G_Glac_Wael_T,1e+22,5e+20,71.0,L6G,Wael,T,True,True,29.0
output71Cp510_Lambeck_Glac_Wael_S,1e+22,5e+20,71.0,Lambeck,Wael,S,True,True,2.0
output71Cp510_Lambeck_Glac_Wael_T,1e+22,5e+20,71.0,Lambeck,Wael,T,True,True,9.0
output71Cp515_Colleoni_Glac_Wael_S,1.5e+22,5e+20,71.0,Colleoni,Wael,S,True,True,8.0
output71Cp515_Colleoni_Glac_Wael_T,1.5e+22,5e+20,71.0,Colleoni,Wael,T,True,True,8.0
output71Cp515_L6G-32_Glac_Wael_S,1.5e+22,5e+20,71.0,L6G-32,Wael,S,True,True,10.0
output71Cp515_L6G-32_Glac_Wael_T,1.5e+22,5e+20,71.0,L6G-32,Wael,T,True,True,19.0
output71Cp515_L6G-47_Glac_Wael_S,1.5e+22,5e+20,71.0,L6G-47,Wael,S,True,True,3.0
output71Cp515_L6G-47_Glac_Wael_T,1.5e+22,5e+20,71.0,L6G-47,Wael,T,True,True,17.0
output71Cp515_L6G_Glac_Wael_S,1.5e+22,5e+20,71.0,L6G,Wael,S,True,True,6.0
output71Cp515_L6G_Glac_Wael_T,1.5e+22,5e+20,71.0,L6G,Wael,T,True,True,25.0
output71Cp515_Lambeck_Glac_Wael_S,1.5e+22,5e+20,71.0,Lambeck,Wael,S,True,True,2.0
output71Cp515_Lambeck_Glac_Wael_T,1.5e+22,5e+20,71.0,Lambeck,Wael,T,True,True,7.0
output71Cp520_Colleoni_Glac_Wael_S,2e+22,5e+20,71.0,Colleoni,Wael,S,True,True,13.0
output71Cp520_Colleoni_Glac_Wael_T,2e+22,5e+20,71.0,Colleoni,Wael,T,True,True,15.0
output71Cp520_L6G-32_Glac_Wael_S,2e+22,5e+20,71.0,L6G-32,Wael,S,True,True,15.0
output71Cp520_L6G-32_Glac_Wael_T,2e+22,5e+20,71.0,L6G-32,Wael,T,True,True,28.0
output71Cp520_L6G-47_Glac_Wael_S,2e+22,5e+20,71.0,L6G-47,Wael,S,True,True,4.0
output71Cp520_L6G-47_Glac_Wael_T,2e+22,5e+20,71.0,L6G-47,Wael,T,True,True,13.0
output71Cp520_L6G_Glac_Wael_S,2e+22,5e+20,71.0,L6G,Wael,S,True,True,6.0
output71Cp520_L6G_Glac_Wael_T,2e+22,5e+20,71.0,L6G,Wael,T,True,True,21.0
output71Cp520_Lambeck_Glac_Wael_S,2e+22,5e+20,71.0,Lambeck,Wael,S,True,True,3.0
output71Cp520_Lambeck_Glac_Wael_T,2e+22,5e+20,71.0,Lambeck,Wael,T,True,True,5.0
output71Cp530_Colleoni_Glac_Wael_S,3e+22,5e+20,71.0,Colleoni,Wael,S,True,True,22.0
output71Cp530_Colleoni_Glac_Wael_T,3e+22,5e+20,71.0,Colleoni,Wael,T,True,True,6.0
output71Cp530_L6G-32_Glac_Wael_S,3e+22,5e+20,71.0,L6G-32,Wael,S,True,True,19.0
output71Cp530_L6G-32_Glac_Wael_T,3e+22,5e+20,71.0,L6G-32,Wael,T,True,True,29.0
output71Cp530_L6G-47_Glac_Wael_S,3e+22,5e+20,71.0,L6G-47,Wael,S,True,True,12.0
output71Cp530_L6G-47_Glac_Wael_T,3e+22,5e+20,71.0,L6G-47,Wael,T,True,True,8.0
output71Cp530_L6G_Glac_Wael_S,3e+22,5e+20,71.0,L6G,Wael,S,True,True,6.0
output71Cp530_L6G_Glac_Wael_T,3e+22,5e+20,71.0,L6G,Wael,T,True,True,32.0
output71Cp530_Lambeck_Glac_Wael_S,3e+22,5e+20,71.0,Lambeck,Wael,S,True,True,6.0
output71Cp530_Lambeck_Glac_Wael_T,3e+22,5e+20,71.0,Lambeck,Wael,T,True,True,6.0
output71Cp53_Colleoni_Glac_Wael_S,3e+21,5e+20,71.0,Colleoni,Wael,S,True,True,12.0
output71Cp53_Colleoni_Glac_Wael_T,3e+21,5e+20,71.0,Colleoni,Wael,T,True,True,5.0
output71Cp53_L6G-32_Glac_Wael_S,3e+21,5e+20,71.0,L6G-32,Wael,S,True,True,30.0
output71Cp53_L6G-32_Glac_Wael_T,3e+21,5e+20,71.0,L6G-32,Wael,T,True,True,16.0
output71Cp53_L6G-47_Glac_Wael_S,3e+21,5e+20,71.0,L6G-47,Wael,S,True,True,12.0
output71Cp53_L6G-47_Glac_Wael_T,3e+21,5e+20,71.0,L6G-47,Wael,T,True,True,22.0
output71Cp53_L6G_Glac_Wael_S,3e+21,5e+20,71.0,L6G,Wael,S,True,True,23.0
output71Cp53_L6G_Glac_Wael_T,3e+21,5e+20,71.0,L6G,Wael,T,True,True,32.0
output71Cp53_Lambeck_Glac_Wael_S,3e+21,5e+20,71.0,Lambeck,Wael,S,True,True,8.0
output71Cp53_Lambeck_Glac_Wael_T,3e+21,5e+20,71.0,Lambeck,Wael,T,True,True,24.0
output71Cp540_Colleoni_Glac_Wael_S,4e+22,5e+20,71.0,Colleoni,Wael,S,True,True,8.0
output71Cp540_Colleoni_Glac_Wael_T,4e+22,5e+20,71.0,Colleoni,Wael,T,True,True,10.0
output71Cp540_L6G-32_Glac_Wael_S,4e+22,5e+20,71.0,L6G-32,Wael,S,True,True,11.0
output71Cp540_L6G-32_Glac_Wael_T,4e+22,5e+20,71.0,L6G-32,Wael,T,True,True,24.0
output71Cp540_L6G-47_Glac_Wael_S,4e+22,5e+20,71.0,L6G-47,Wael,S,True,True,13.0
output71Cp540_L6G-47_Glac_Wael_T,4e+22,5e+20,71.0,L6G-47,Wael,T,True,True,9.0
output71Cp540_L6G_Glac_Wael_S,4e+22,5e+20,71.0,L6G,Wael,S,True,True,4.0
output71Cp540_L6G_Glac_Wael_T,4e+22,5e+20,71.0,L6G,Wael,T,True,True,16.0
output71Cp540_Lambeck_Glac_Wael_S,4e+22,5e+20,71.0,Lambeck,Wael,S,True,True,5.0
output71Cp540_Lambeck_Glac_Wael_T,4e+22,5e+20,71.0,Lambeck,Wael,T,True,True,3.0
output71Cp55_Colleoni_Glac_Wael_S,5e+21,5e+20,71.0,Colleoni,Wael,S,True,True,8.0
