,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale,LMV,UMV,lithosphere,ice_history,esl_curve,deglacial_rate,true_model
output96Cp53_Lambeck_Wael_T,101,-32.10120508703384,7.446285490940273,8.135716094481879,2.261618219382652e-05,7.043151422116997e-13,0.0,True,log,3e+21,5e+20,96,Lambeck,Wael,T,False
output71Cp35_Lambeck_Wael_T,102,-32.127702529122935,8.536586284558485,8.162213536570974,2.20247811258423e-05,1.7852490519303285e-13,0.0,True,log,5e+21,3e+20,71,Lambeck,Wael,T,False
output96Cp57_ICE6G_Wael_S,103,-32.15314109847632,6.898680616761915,8.187652105924357,2.1471568505116686e-05,1.0573319987994062e-13,0.0,True,log,7e+21,5e+20,96,ICE6G,Wael,S,False
output96Cp55_Colleoni_Wael_T,104,-32.188906777514774,9.056216900368632,8.223417784962813,2.0717194048440732e-05,2.495748360624248e-13,0.0,True,log,5e+21,5e+20,96,Colleoni,Wael,T,False
output96Cp55_ICE6G_Wael_S,105,-32.21670240369615,6.555353499156393,8.251213411144185,2.014927604918093e-05,1.9098682939553406e-13,0.0,True,log,5e+21,5e+20,96,ICE6G,Wael,S,False
output71Cp57_Lambeck_Wael_T,106,-32.23813141841492,8.355253505032401,8.272642425862962,1.9722090347438757e-05,5.622075723265345e-13,0.0,True,log,7e+21,5e+20,71,Lambeck,Wael,T,False
output71Cp520_ICE6G_Wael_S,107,-32.28412060612866,7.0338259228928095,8.318631613576699,1.8835627519016315e-05,6.545774444846787e-13,0.0,True,log,2e+22,5e+20,71,ICE6G,Wael,S,False
output96Cp33_Lambeck_Wael_T,108,-32.28922245852149,8.173246569316813,8.323733465969532,1.873977564664991e-05,5.266807622566214e-13,0.0,True,log,3e+21,3e+20,96,Lambeck,Wael,T,False
output96Cp35_Lambeck_Wael_T,109,-32.30135487795943,9.113842183655432,8.335865885407472,1.8513790473779065e-05,3.774688315515917e-13,0.0,True,log,5e+21,3e+20,96,Lambeck,Wael,T,False
output71Cp55_Colleoni_Wael_T,110,-32.34741442038282,8.169211408550808,8.381925427830858,1.7680394016817905e-05,4.627326305554586e-13,0.0,True,log,5e+21,5e+20,71,Colleoni,Wael,T,False
output71Cp55_Lambeck_Wael_T,111,-32.45005313615017,8.124562757898698,8.484564143598206,1.595572385460625e-05,3.3483718592158526e-13,0.0,True,log,5e+21,5e+20,71,Lambeck,Wael,T,False
output71Cp55_ICE6G_Wael_S,112,-32.47327349908992,6.654423869156517,8.50778450653796,1.5589494599154614e-05,3.845741256220564e-13,0.0,True,log,5e+21,5e+20,71,ICE6G,Wael,S,False
output71Cp35_Colleoni_Wael_T,113,-32.49658947696472,9.339989785054133,8.531100484412761,1.523021504137024e-05,5.786565223153487e-13,0.0,True,log,5e+21,3e+20,71,Colleoni,Wael,T,False
