,lat,lon,rsl,rsl_er_max,rsl_er_min,age,age_er_max,age_er_min,rsl_er,age_er
3013,53.73,-0.08,-4.35,0.27,0.27,4690.0,140.0,159.0,0.27,149.5
3016,53.77,-0.73,-6.18,0.22,0.22,4708.0,129.0,136.0,0.22,132.5
3018,54.04,-2.88,-0.49,0.21,0.21,4713.0,564.0,418.0,0.21,491.0
3023,53.14,-0.25,-5.5,0.81,0.81,4728.0,310.0,297.0,0.81,303.5
3028,53.07,0.06,-6.01,0.06,0.06,4743.0,217.0,210.0,0.06,213.5
3030,53.63,-0.11,-4.27,0.7,0.7,4749.0,209.0,178.0,0.7,193.5
3033,53.73,-0.08,-4.35,0.27,0.27,4760.0,188.0,176.0,0.27,182.0
3035,53.07,0.06,-5.79,0.21,0.21,4790.0,237.0,219.0,0.21,228.0
3036,55.7,-1.94,1.7,0.21,0.21,4790.0,237.0,219.0,0.21,228.0
3042,53.07,0.06,-6.03,0.8,0.8,4857.0,188.0,272.0,0.8,230.0
3046,53.67,-0.55,-6.39,0.21,0.21,4871.0,166.0,162.0,0.21,164.0
3049,54.63,-1.21,-1.87,0.22,0.22,4899.0,363.0,272.0,0.22,317.5
3050,53.4,-3.15,-1.21,1.0,1.0,4906.0,365.0,263.0,1.0,314.0
3051,54.4,-4.36,2.25,0.21,0.21,4907.0,132.0,79.0,0.21,105.5
3052,54.92,-4.41,4.21,0.21,0.21,4929.0,354.0,282.0,0.21,318.0
3055,53.07,0.06,-6.07,0.8,0.8,4935.0,344.0,221.0,0.8,282.5
3057,53.66,-0.71,-6.98,0.21,0.21,4954.0,323.0,122.0,0.21,222.5
3058,53.31,-3.53,-2.14,0.34,0.34,4959.0,473.0,432.0,0.34,452.5
3060,53.61,0.15,-3.87,0.25,0.25,4963.0,312.0,118.0,0.25,215.0
3062,55.34,-1.6,-0.26,0.4,0.4,4984.0,291.0,126.0,0.4,208.5
3076,53.16,0.28,-4.89,0.21,0.21,5077.0,210.0,201.0,0.21,205.5
3079,53.03,0.05,-5.27,0.21,0.21,5131.0,167.0,239.0,0.21,203.0
3080,53.03,0.05,-5.54,0.8,0.8,5131.0,167.0,239.0,0.8,203.0
3083,53.06,0.15,-5.45,0.21,0.21,5140.0,298.0,270.0,0.21,284.0
3086,53.16,0.28,-4.65,0.21,0.21,5149.0,164.0,255.0,0.21,209.5
3088,53.36,0.23,-6.96,0.21,0.21,5156.0,146.0,182.0,0.21,164.0
3091,54.36,-3.41,0.65,0.26,0.26,5160.0,137.0,185.0,0.26,161.0
3094,53.39,-3.14,-1.93,0.21,0.21,5164.0,282.0,201.0,0.21,241.5
3097,53.52,-3.06,-1.19,0.22,0.22,5185.0,282.0,301.0,0.22,291.5
3100,53.61,0.15,-4.17,0.81,0.81,5199.0,257.0,216.0,0.81,236.5
3107,54.67,-1.19,-2.19,0.21,0.21,5314.0,254.0,264.0,0.21,259.0
3108,54.24,-2.83,0.3,0.36,0.36,5315.0,272.0,341.0,0.36,306.5
3109,53.6,-0.87,-7.14,0.4,0.4,5339.0,234.0,286.0,0.4,260.0
