,lat,lon,rsl,rsl_er_max,rsl_er_min,age,age_er_max,age_er_min,rsl_er,age_er
8209,53.37764472,6.03534447,-9.89,0.22399999999999998,0.22399999999999998,10480.0,170.0,200.0,0.22399999999999998,185.0
8210,53.18954701,6.94531736,-2.7,0.54,0.54,9430.0,120.0,290.0,0.54,205.0
8211,53.2262402,6.65308632,-5.95,0.54,0.54,9180.0,225.0,170.0,0.54,197.5
8212,53.2502878,4.79033181,-17.095,1.02,1.02,8300.0,110.0,125.0,1.02,117.5
8213,53.2502878,4.79033181,-17.095,1.02,1.02,8150.0,180.0,140.0,1.02,160.0
8214,53.37164807,6.78374202,-10.325,0.225,0.225,8120.0,190.0,115.0,0.225,152.5
8215,53.44574146,6.71675371,-16.08,0.22399999999999998,0.22399999999999998,7985.0,35.0,40.0,0.22399999999999998,37.5
8216,53.42677504,5.72171416,-13.545,1.02,1.02,7925.0,90.0,95.0,1.02,92.5
8217,53.42677504,5.72171416,-13.59,1.02,1.02,7865.0,95.0,125.0,1.02,110.0
8218,53.44569551,6.74505288,-14.245,0.22399999999999998,0.22399999999999998,7815.0,115.0,115.0,0.22399999999999998,115.0
8219,53.30773913,5.78523198,-6.38,0.22399999999999998,0.22399999999999998,7760.0,160.0,90.0,0.22399999999999998,125.0
8220,53.30047652,6.50824064,-12.185,0.22399999999999998,0.22399999999999998,7755.0,80.0,70.0,0.22399999999999998,75.0
8221,53.29903952,6.4688989,-10.34,0.22399999999999998,0.22399999999999998,7595.0,80.0,90.0,0.22399999999999998,85.0
8222,53.31902991,6.94098917,-6.185,0.22399999999999998,0.22399999999999998,7330.0,250.0,330.0,0.22399999999999998,290.0
8223,53.38159121,5.96626775,-6.635,0.22399999999999998,0.22399999999999998,7155.0,280.0,360.0,0.22399999999999998,320.0
8224,53.32881618,6.84120446,-8.445,0.225,0.225,7115.0,135.0,105.0,0.225,120.0
8225,53.32381807,6.01802495,-2.695,0.728,0.728,6920.0,240.0,170.0,0.728,205.0
8226,53.2541755,6.38912915,-1.785,0.22399999999999998,0.22399999999999998,6900.0,105.0,115.0,0.22399999999999998,110.0
8227,53.29039398,5.86006022,-3.425,0.225,0.225,6710.0,125.0,80.0,0.225,102.5
8228,53.3265802,6.16066535,-7.03,0.22399999999999998,0.22399999999999998,6600.0,120.0,110.0,0.22399999999999998,115.0
8229,53.23020417,6.66069149,-2.64,0.539,0.539,6100.0,175.0,155.0,0.539,165.0
8230,53.274741799999994,6.65600757,-5.075,0.539,0.539,6035.0,155.0,125.0,0.539,140.0
8231,53.31902991,6.94098917,-5.02,0.22699999999999998,0.22699999999999998,5985.0,305.0,330.0,0.22699999999999998,317.5
8232,53.243592500000005,6.62662559,-3.85,0.5479999999999999,0.5479999999999999,5810.0,110.0,150.0,0.5479999999999999,130.0
8233,53.17765065,7.0930038,-4.21,0.22399999999999998,0.22399999999999998,5755.0,155.0,155.0,0.22399999999999998,155.0
