,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale,LMV,UMV,lithosphere,ice_history,esl_curve,deglacial_rate
output96Cp440_L6G-32_Glac_Wael_S,284,-72.10408117952106,36.77371922090027,9.800588139459663,6.47116339890583e-06,6.766464821948205e-12,0.0,True,log,4e+22,4e+20,96.0,L6G-32,Glac,S
output71Cp515_Lambeck_Glac_Wael_S,285,-72.14286301330151,36.57882808134398,9.83936997324011,6.225003925337917e-06,3.5121808308241498e-12,0.0,True,log,1.5e+22,5e+20,71.0,Lambeck,Glac,S
output96Cp57_L6G-47_Glac_Wael_S,286,-72.17925967740632,34.07269267700573,9.875766637344924,6.002508161657972e-06,8.396520547773019e-12,0.0,True,log,7e+21,5e+20,96.0,L6G-47,Glac,S
output96Cp320_L6G-32_Glac_Wael_S,287,-72.18236771615625,40.90998086784744,9.878874676094853,5.983881095510572e-06,1.806409314697138e-11,0.0,True,log,2e+22,3e+20,96.0,L6G-32,Glac,S
output96Cp330_Lambeck_Glac_Wael_T,288,-72.19338819959243,35.008700448242855,9.889895159531036,5.918297876168307e-06,6.54910986135544e-12,0.0,True,log,3e+22,3e+20,96.0,Lambeck,Glac,T
output96Cp420_L6G-47_Glac_Wael_T,289,-72.19411175949963,39.599817806692066,9.890618719438237,5.9140171819603075e-06,2.3094735563047275e-11,0.0,True,log,2e+22,4e+20,96.0,L6G-47,Glac,T
output71Cp420_L6G-32_Glac_Wael_S,290,-72.19556438378439,39.85689465946241,9.89207134372299,5.90543257359593e-06,4.303795827793878e-12,0.0,True,log,2e+22,4e+20,71.0,L6G-32,Glac,S
output71Cp45_Colleoni_Glac_Wael_T,291,-72.20957475321936,33.69753025081447,9.90608171315796,5.823272174278282e-06,1.577195343783238e-11,0.0,True,log,5e+21,4e+20,71.0,Colleoni,Glac,T
output71Cp420_L6G_Glac_Wael_S,292,-72.21207127650793,38.32278444653888,9.90857823644653,5.80875237173547e-06,1.1807125242619359e-11,0.0,True,log,2e+22,4e+20,71.0,L6G,Glac,S
output96Cp440_L6G-47_Glac_Wael_T,293,-72.23564026471539,40.849895986329386,9.932147224653988,5.673446727583573e-06,7.207001203419752e-12,0.0,True,log,4e+22,4e+20,96.0,L6G-47,Glac,T
output96Cp540_Lambeck_Glac_Wael_T,294,-72.2488679474524,38.73845743170343,9.945374907390999,5.598894338960032e-06,1.0759714300516687e-11,0.0,True,log,4e+22,5e+20,96.0,Lambeck,Glac,T
output96Cp430_Lambeck_Glac_Wael_T,295,-72.2663287787657,38.847110694855196,9.9628357387043,5.501981540603749e-06,1.3796644747677773e-11,0.0,True,log,3e+22,4e+20,96.0,Lambeck,Glac,T
output96Cp37_Lambeck_Glac_Wael_S,296,-72.27964748688012,43.711335842408914,9.976154446818725,5.4291880878431825e-06,3.67851872179531e-12,0.0,True,log,7e+21,3e+20,96.0,Lambeck,Glac,S
output96Cp330_L6G-47_Glac_Wael_S,297,-72.29474736885223,34.720233822235066,9.99125432879083,5.347823829817628e-06,1.0802346860005152e-11,0.0,True,log,3e+22,3e+20,96.0,L6G-47,Glac,S
output71Cp410_Lambeck_Glac_Wael_S,298,-72.30128433785362,38.07804940799683,9.997791297792219,5.312979284154238e-06,1.5226658942016924e-12,0.0,True,log,1e+22,4e+20,71.0,Lambeck,Glac,S
output71Cp515_Lambeck_Glac_Wael_T,299,-72.32725512852737,39.52788864859785,10.023762088465972,5.176773354770101e-06,2.2332059768561424e-12,0.0,True,log,1.5e+22,5e+20,71.0,Lambeck,Glac,T
output96Cp45_L6G_Glac_Wael_S,300,-72.39786852325872,41.37573490578417,10.094375483197325,4.823831662439085e-06,6.762272620970502e-12,0.0,True,log,5e+21,4e+20,96.0,L6G,Glac,S
output96Cp530_Lambeck_Glac_Wael_T,301,-72.45862414778443,37.91850158034265,10.155131107723037,4.539482135352153e-06,5.146427975097834e-12,0.0,True,log,3e+22,5e+20,96.0,Lambeck,Glac,T
output71Cp530_L6G-47_Glac_Wael_S,302,-72.47700932232239,41.17229846810689,10.17351628226099,4.456785489492789e-06,1.4900521651437324e-12,0.0,True,log,3e+22,5e+20,71.0,L6G-47,Glac,S
output96Cp510_Lambeck_Glac_Wael_S,303,-72.48677995828746,34.486330487712216,10.18328691822606,4.413451903981706e-06,1.021970188369263e-11,0.0,True,log,1e+22,5e+20,96.0,Lambeck,Glac,S
output96Cp515_Lambeck_Glac_Wael_S,304,-72.48934096244741,31.5201359247721,10.185847922386017,4.4021634962954355e-06,5.74328361674682e-12,0.0,True,log,1.5e+22,5e+20,96.0,Lambeck,Glac,S
output96Cp35_Lambeck_Glac_Wael_S,305,-72.49177903303683,31.61325172847414,10.188285992975437,4.391443783962738e-06,3.294826046438106e-12,0.0,True,log,5e+21,3e+20,96.0,Lambeck,Glac,S
output71Cp530_Lambeck_Glac_Wael_T,306,-72.51760921194415,39.775906334239416,10.21411617188275,4.279464454385153e-06,2.882711810608428e-12,0.0,True,log,3e+22,5e+20,71.0,Lambeck,Glac,T
output71Cp430_L6G_Glac_Wael_S,307,-72.52026568218112,39.221257290067875,10.216772642119722,4.26811127080615e-06,9.651267768258153e-12,0.0,True,log,3e+22,4e+20,71.0,L6G,Glac,S
output71Cp33_L6G-32_Glac_Wael_T,308,-72.52414572584595,27.689423075571668,10.220652685784557,4.251582898846066e-06,1.2403981088913718e-11,0.0,True,log,3e+21,3e+20,71.0,L6G-32,Glac,T
output96Cp510_L6G_Glac_Wael_S,309,-72.54486224325726,36.53840710538111,10.241369203195859,4.164410974678348e-06,6.638567165662644e-12,0.0,True,log,1e+22,5e+20,96.0,L6G,Glac,S
output71Cp540_L6G-47_Glac_Wael_S,310,-72.59895498400786,34.17454217820576,10.295461943946464,3.9451307707232486e-06,9.182309629844946e-12,0.0,True,log,4e+22,5e+20,71.0,L6G-47,Glac,S
output71Cp440_Lambeck_Glac_Wael_T,311,-72.62563210685963,36.43426308034533,10.32213906679823,3.841277445469519e-06,1.1086563924176915e-11,0.0,True,log,4e+22,4e+20,71.0,Lambeck,Glac,T
output71Cp430_L6G-47_Glac_Wael_S,312,-72.68243807074315,37.70611383655336,10.378945030681749,3.6291520120301424e-06,1.4189983182503572e-12,0.0,True,log,3e+22,4e+20,71.0,L6G-47,Glac,S
output96Cp320_Lambeck_Glac_Wael_T,313,-72.81552259847818,38.1960511533803,10.512029558416785,3.1769273506656327e-06,9.72232203221953e-12,0.0,True,log,2e+22,3e+20,96.0,Lambeck,Glac,T
output96Cp43_Lambeck_Glac_Wael_S,314,-72.83459908894649,38.84824000603941,10.531106048885093,3.1168971297778213e-06,1.585721856179491e-11,0.0,True,log,3e+21,4e+20,96.0,Lambeck,Glac,S
output71Cp520_Lambeck_Glac_Wael_T,315,-72.92546446447193,38.52857804982417,10.621971424410532,2.8461654202720825e-06,1.2933974873572725e-11,0.0,True,log,2e+22,5e+20,71.0,Lambeck,Glac,T
output96Cp530_L6G_Glac_Wael_S,316,-72.9344928483238,34.12819620350243,10.630999808262402,2.820584795959521e-06,1.3985578048684085e-11,0.0,True,log,3e+22,5e+20,96.0,L6G,Glac,S
output71Cp520_L6G_Glac_Wael_S,317,-72.93719128690663,43.50965184253913,10.633698246845228,2.8129838810335432e-06,1.8461997063848168e-11,0.0,True,log,2e+22,5e+20,71.0,L6G,Glac,S
output71Cp530_L6G-32_Glac_Wael_S,318,-72.94257629851886,43.04763229079498,10.639083258457461,2.797876643002762e-06,9.831816653256093e-12,0.0,True,log,3e+22,5e+20,71.0,L6G-32,Glac,S
output96Cp310_L6G-47_Glac_Wael_S,319,-73.03442838425758,36.62052657905917,10.730935344196183,2.5523351927297793e-06,1.1782895737541227e-11,0.0,True,log,1e+22,3e+20,96.0,L6G-47,Glac,S
output96Cp515_L6G-47_Glac_Wael_T,320,-73.03772559829635,38.695052316124325,10.73423255823495,2.543933456073754e-06,4.829597131070576e-12,0.0,True,log,1.5e+22,5e+20,96.0,L6G-47,Glac,T
output96Cp45_Lambeck_Glac_Wael_S,321,-73.0792374525242,40.77546436285156,10.7757444124628,2.4404919399187396e-06,2.6803570724865742e-14,0.0,True,log,5e+21,4e+20,96.0,Lambeck,Glac,S
output71Cp47_Lambeck_Glac_Wael_S,322,-73.12224113881763,42.01714881897723,10.818748098756231,2.337766408906415e-06,6.951205883375938e-12,0.0,True,log,7e+21,4e+20,71.0,Lambeck,Glac,S
output71Cp440_L6G-47_Glac_Wael_T,323,-73.13864312867092,45.97314793071571,10.835150088609524,2.2997351348840427e-06,1.2806077190940089e-11,0.0,True,log,4e+22,4e+20,71.0,L6G-47,Glac,T
output96Cp415_L6G_Glac_Wael_S,324,-73.14567134520249,40.54053879602209,10.84217830514109,2.283628764219946e-06,8.31125543499504e-12,0.0,True,log,1.5e+22,4e+20,96.0,L6G,Glac,S
output96Cp47_L6G-47_Glac_Wael_S,325,-73.1642217125906,39.82209547579477,10.860728672529206,2.241657110054149e-06,2.034254566890411e-12,0.0,True,log,7e+21,4e+20,96.0,L6G-47,Glac,S
output96Cp520_L6G-47_Glac_Wael_T,326,-73.19448874109266,36.784752527740345,10.890995701031258,2.1748253123098847e-06,9.401528782269288e-12,0.0,True,log,2e+22,5e+20,96.0,L6G-47,Glac,T
output71Cp430_Lambeck_Glac_Wael_T,327,-73.21571755281016,37.898734186650735,10.912224512748764,2.129142961842518e-06,2.6026873923277793e-12,0.0,True,log,3e+22,4e+20,71.0,Lambeck,Glac,T
output71Cp530_Lambeck_Glac_Wael_S,328,-73.25310128595628,34.43588211616595,10.94960824589488,2.051017066815826e-06,7.619115894868734e-12,0.0,True,log,3e+22,5e+20,71.0,Lambeck,Glac,S
output96Cp43_Colleoni_Glac_Wael_S,329,-73.29444861251412,32.5565913878673,10.99095557245272,1.9679422894119805e-06,3.2563857299235123e-12,0.0,True,log,3e+21,4e+20,96.0,Colleoni,Glac,S
output71Cp510_L6G-47_Glac_Wael_S,330,-73.3412529732644,40.16373505458715,11.037759933203006,1.8779563035386078e-06,6.5633207118729445e-12,0.0,True,log,1e+22,5e+20,71.0,L6G-47,Glac,S
output96Cp55_Colleoni_Glac_Wael_T,331,-73.38189761370542,32.536522799765464,11.078404573644022,1.8031578204353902e-06,1.4294024630687208e-11,0.0,True,log,5e+21,5e+20,96.0,Colleoni,Glac,T
output71Cp540_L6G-32_Glac_Wael_S,332,-73.43618350680492,47.19260122632699,11.132690466743526,1.7078812708966325e-06,1.2223432194876577e-11,0.0,True,log,4e+22,5e+20,71.0,L6G-32,Glac,S
output71Cp330_L6G-32_Glac_Wael_S,333,-73.4430727321615,46.27605223770382,11.1395796921001,1.696155728267909e-06,7.837093115734039e-13,0.0,True,log,3e+22,3e+20,71.0,L6G-32,Glac,S
